video,frame,n_objects,mean_area,mean_confidence
45112025.MOV,278,3,253112.33333333334,0.5981117635965347
45112025.MOV,279,3,250868.0,0.4913192540407181
45112025.MOV,280,3,250475.66666666666,0.6626209616661072
45112025.MOV,281,3,250176.0,0.5255320072174072
45112025.MOV,282,3,254718.0,0.6702710688114166
45112025.MOV,283,3,255869.66666666666,0.7299373745918274
45112025.MOV,284,3,259502.33333333334,0.8279800415039062
45112025.MOV,285,3,260709.0,0.7296483218669891
45112025.MOV,286,3,249827.33333333334,0.5405829548835754
45112025.MOV,287,3,236077.66666666666,0.322520911693573
45112025.MOV,288,4,238741.0,0.7306881546974182
45112025.MOV,289,4,230895.25,0.5880888253450394
45112025.MOV,290,4,222419.5,0.5796376913785934
45112025.MOV,291,4,217936.75,0.5858273506164551
45112025.MOV,292,5,200880.8,0.6734890937805176
45112025.MOV,293,5,195701.8,0.49918366968631744
45112025.MOV,294,5,193295.0,0.5445525795221329
45112025.MOV,295,5,191637.6,0.5324378311634064
45112025.MOV,296,5,188732.8,0.5210216790437698
45112025.MOV,297,5,177298.4,0.412858118613561
45112025.MOV,298,5,181239.8,0.6600392460823059
45112025.MOV,299,5,180874.6,0.5164004415273666
45112025.MOV,300,5,181024.2,0.6790522634983063
45112025.MOV,301,5,172520.0,0.7006497085094452
45112025.MOV,302,5,180193.4,0.43041521310806274
45112025.MOV,303,5,178602.8,0.6146454513072968
45112025.MOV,304,5,177807.4,0.6415869295597076
45112025.MOV,305,5,177395.6,0.786058783531189
45112025.MOV,306,5,177133.4,0.6780097484588623
45112025.MOV,307,5,177590.6,0.8419531285762787
45112025.MOV,308,5,177710.0,0.8550359606742859
45112025.MOV,309,6,180141.66666666666,0.6136580506960551
45112025.MOV,310,6,176935.33333333334,0.7083154022693634
45112025.MOV,311,6,173571.66666666666,0.6584065854549408
45112025.MOV,312,6,170949.5,0.5362278819084167
45112025.MOV,313,6,167749.5,0.5156370798746744
45112025.MOV,314,6,166497.83333333334,0.6566653847694397
45112025.MOV,315,6,164482.83333333334,0.7788263360659281
45112025.MOV,316,6,163226.16666666666,0.6994492014249166
45112025.MOV,317,5,194051.2,0.6824487249056498
45112025.MOV,318,5,192507.6,0.6506867309411367
45112025.MOV,319,5,191938.2,0.7162692149480184
45112025.MOV,320,5,191819.4,0.6007315516471863
45112025.MOV,321,5,192040.2,0.5744700729846954
45112025.MOV,322,5,192941.8,0.7153816819190979
45112025.MOV,323,5,194384.8,0.7897138992945353
45112025.MOV,324,5,196948.8,0.761875847975413
45112025.MOV,325,5,197520.8,0.7761097351710001
45112025.MOV,326,5,198636.0,0.6361103852589926
45112025.MOV,327,5,197985.8,0.7649367451667786
